Player,Tm,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,DRB,AST,TOV,PTS,Predict_salario,Real_salario,Diferencia_%,Image_URL
Torrey Craig,Chicago Bulls,AL,33,35,7,721,2,4,1,3,0,1,0,0,2,1,0,5,7271674,2528233,"-187,6188489779358",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHI-2024.png
Jae Crowder,Milwaukee Bucks,AP,33,33,17,804,2,5,1,3,1,2,0,0,3,1,0,6,7869057,3196448,"-146,18130125754462",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIL-2024.png
Jalen Crutcher,New Orleans Pelicans,BA,24,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2361518,64343,"-3570,2030943198088",https://cdn.ssref.net/req/202312151/tlogo/bbr/NOP-2024.png
Cade Cunningham,Detroit Pistons,BA,22,53,53,1793,8,18,1,5,6,13,3,4,3,7,3,22,11206184,11055240,"-1,365361855729099",https://cdn.ssref.net/req/202312151/tlogo/bbr/DET-2024.png
Seth Curry,TOT,ES,33,44,4,616,1,4,0,2,0,2,0,0,1,1,0,5,6239823,4000000,"-55,99559700717032",
Stephen Curry,Golden State Warriors,BA,35,59,59,1936,8,19,4,12,3,7,4,4,3,4,2,26,40266294,51915615,"22,43895359655142",https://cdn.ssref.net/req/202312151/tlogo/bbr/GSW-2024.png
Dyson Daniels,New Orleans Pelicans,BA,20,52,15,1139,2,4,0,2,1,2,0,0,2,2,1,5,3360682,5784120,"41,89811915089701",https://cdn.ssref.net/req/202312151/tlogo/bbr/NOP-2024.png
Anthony Davis,Los Angeles Lakers,P,30,61,61,2183,9,17,0,1,9,15,5,6,9,3,1,24,33292245,40600080,"17,99955771424577",https://cdn.ssref.net/req/202312151/tlogo/bbr/LAL-2024.png
Johnny Davis,Washington Wizards,ES,21,32,0,316,0,2,0,0,0,2,0,0,0,0,0,2,2990162,5050800,"40,7982464836053",https://cdn.ssref.net/req/202312151/tlogo/bbr/WAS-2024.png
Dexter Dennis,Dallas Mavericks,ES,24,4,0,30,2,4,0,2,2,2,0,0,2,1,0,5,3691298,212331,"-1638,4644322727738",https://cdn.ssref.net/req/202312151/tlogo/bbr/DAL-2024.png
