Jugador,Salario
Joe Harris,19928571
Evan Fournier,18857143
James Wiseman,12119440
Cade Cunningham,11055240
Ausar Thompson,7977480
Jaden Ivey,7614480
Killian Hayes,7413955
Isaiah Stewart,5266713
Shake Milton,5000000
Jalen Duren,4330680
Danuel House,4310250
Troy Brown,4000000
Malachi Flynn,3873025
Simone Fontecchio,3044872
Dewayne Dedmon,2866666
Marcus Sasser,2624040
Ryan Arcidiacono,2528233
Quentin Grimes,2385720
Stanley Umude,934168
Malcolm Cazalon,389274
Deandre Ayton,32459438
Jerami Grant,27586207
Anfernee Simons,24107143
Malcolm Brogdon,22500000
Robert Williams,11812501
Matisse Thybulle,10500000
Scoot Henderson,9770880
Shaedon Sharpe,6313800
Kris Murray,2847480
Andrew Nicholson,2844429
Duop Reath,2324408
Moses Brown,2165000
Dalano Banton,2019706
Jabari Walker,1719864
Toumani Camara,1119563
Rayan Rupert,1119563
Skylar Mays,914343
Ish Wainright,853149
Didi Louzada,268032
Taze Moore,64343
Jamaree Bouyea,35389
De'Aaron Fox,32600060
Domantas Sabonis,30600000
Harrison Barnes,17000000
Kevin Huerter,15669643
Malik Monk,9945830
Keegan Murray,8409000
Trey Lyles,8000000
Sasha Vezenkov,6341464
Davion Mitchell,5063760
Chris Duarte,4124280
JaVale McGee,3196448
Alex Len,3196448
Robin Lopez,3196448
Colby Jones,2019706
Kessler Edwards,1927896
Keon Ellis,1450668
Filip Petrusev,559782
Juan Toscano,447931
Nerlens Noel,300000
Neemias Queta,250000
Joel Embiid,47607350
Tobias Harris,39270150
Buddy Hield,19279841
Nicolas Batum,11710818
Robert Covington,11692308
De'Anthony Melton,8000000
Paul Reed,7723000
Tyrese Maxey,4343920
Montrezl Harrell,2891467
Kelly Oubre,2891467
Cameron Payne,2891467
Mo Bamba,2346614
K.J. Martin Jr.,1930681
Kyle Lowry,1138964
Danny Green,500000
Javonte Smart,196245
Darius Bazley,124425
Keldon Johnson,20000000
Marcus Morris,17116279
Victor Wembanyama,12160680
Devonte' Graham,12100000
Tre Jones,9895833
Zach Collins,7700000
Khem Birch,6985000
Cedi Osman,6718842
Devin Vassell,5887899
Jeremy Sochan,5316960
Malaki Branham,3071880
Julian Champagnie,3000000
Blake Wesley,2504640
Charles Bassey,2500000
S. Mamukelashvili,2019706
Sidy Cissoko,1119563
Dominick Barlow,877065
Charles Bediako,215548
Mamadi Diakite,199463
Sir'Jabari Rice,167291
RJ Barrett,23883929
Bruce Brown,21951220
Jakob Poeltl,19500000
Gary Trent Jr.,18785000
Kelly Olynyk,12195122
Chris Boucher,11750000
Scottie Barnes,8008560
Gradey Dick,4536720
Jalen McDaniels,4516000
Immanuel Quickley,4171548
Ochai Agbaji,4114200
Jordan Nwora,3200000
Garrett Temple,3196448
Christian Koloko,1719864
Javon Freeman,707770
Justise Winslow,166176
Ron Harper Jr.,147988
Mouhamadou Gueye,64343
John Collins,25340000
Jordan Clarkson,23487629
Collin Sexton,17325000
Lauri Markkanen,17259999
Talen Horton-Tucker,11020000
Otto Porter,6300000
Kira Lewis Jr.,5722116
Taylor Hendricks,5569920
Keyonte George,3889800
Walker Kessler,2831160
Omer Yurtseven,2800000
Kris Dunn,2586484
Brice Sensabaugh,2448600
Kevin Knox,2144320
Luka Samanic,1997238
Jordan Poole,28705357
Kyle Kuzma,25568182
Tyus Jones,14000000
Marvin Bagley III,12500000
Richaun Holmes,12046020
Landry Shamet,10250000
Bilal Coulibaly,6614280
Deni Avdija,6263188
Johnny Davis,5050800
Corey Kispert,3722040
Patrick Baldwin Jr.,2337720
Anthony Gill,1997238
Isaiah Livers,1836096
Xavier Cooks,1719864
Ryan Rollins,1719864
Eugene Omoruyi,940566
John Butler Jr.,144771
Hamidou Diallo,134863
R.J. Hampton,120250
Trey Jemison,64343
