Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salario
Nick Richards,P,26,CHO,54,41,1419,212,307,0.691,0,1,0.0,212,306,0.693,0.691,114,155,0.735,146,291,437,43,21,68,60,144,538,5000000
Josh Richardson,ES,30,MIA,43,6,1103,154,347,0.444,66,190,0.347,88,157,0.561,0.539,51,54,0.944,18,103,121,105,24,14,36,76,425,2891467
Duncan Robinson,AL,29,MIA,58,26,1639,269,587,0.458,165,403,0.409,104,184,0.565,0.599,72,81,0.889,12,132,144,173,39,14,78,137,775,18154000
Mitchell Robinson,P,25,NYK,21,21,613,58,98,0.592,0,0,,58,98,0.592,0.592,14,38,0.368,112,104,216,15,32,27,21,40,130,15681818
Orlando Robinson,P,23,MIA,27,7,273,33,67,0.493,7,14,0.5,26,53,0.491,0.545,18,24,0.75,23,55,78,29,7,7,17,35,91,1801769
David Roddy,AP,22,TOT,55,13,1146,159,396,0.402,48,162,0.296,111,234,0.474,0.462,47,68,0.691,52,151,203,76,25,11,55,70,413,2718240
Ryan Rollins,BA,21,WAS,10,0,66,13,25,0.52,2,3,0.667,11,22,0.5,0.56,13,17,0.765,2,9,11,11,8,3,7,7,41,1719864
Derrick Rose,BA,35,MEM,24,7,399,76,165,0.461,15,41,0.366,61,124,0.492,0.506,24,27,0.889,7,38,45,78,8,2,31,21,191,3196448
Terry Rozier,ES,29,TOT,46,45,1564,339,763,0.444,108,312,0.346,231,451,0.512,0.515,146,168,0.869,29,157,186,292,45,16,87,82,932,23205221
Rayan Rupert,ES,19,POR,22,0,209,23,63,0.365,12,29,0.414,11,34,0.324,0.46,7,10,0.7,13,23,36,20,5,0,11,19,65,1119563
D'Angelo Russell,BA,27,LAL,60,53,1914,398,844,0.472,171,403,0.424,227,441,0.515,0.573,120,149,0.805,23,155,178,374,51,30,119,128,1087,17307693
Domantas Sabonis,P,27,SAC,62,62,2218,503,825,0.61,29,69,0.42,474,756,0.627,0.627,205,296,0.693,217,621,838,523,55,34,202,193,1240,30600000
Gui Santos,AP,21,GSW,17,0,147,19,39,0.487,7,18,0.389,12,21,0.571,0.577,14,15,0.933,15,29,44,11,3,2,7,17,59,1029483
Marcus Sasser,BA,23,DET,54,0,876,151,333,0.453,61,154,0.396,90,179,0.503,0.545,35,41,0.854,7,78,85,161,32,8,55,76,398,2624040
Dennis Schröder,BA,30,TOT,64,42,1948,318,715,0.445,108,284,0.38,210,431,0.487,0.52,141,173,0.815,27,151,178,387,51,11,113,130,885,12405000
Alperen Sengun,P,21,HOU,62,62,2016,520,968,0.537,33,111,0.297,487,857,0.568,0.554,244,350,0.697,183,400,583,310,74,46,162,207,1317,3536400
Brice Sensabaugh,AL,20,UTA,14,2,171,27,58,0.466,10,29,0.345,17,29,0.586,0.552,8,9,0.889,5,20,25,10,4,0,16,14,72,2448600
Collin Sexton,ES,25,UTA,64,41,1626,392,812,0.483,107,265,0.404,285,547,0.521,0.549,272,316,0.861,53,108,161,300,51,13,123,125,1163,17325000
Landry Shamet,ES,26,WAS,45,5,719,118,274,0.431,53,157,0.338,65,117,0.556,0.527,38,46,0.826,16,46,62,54,25,10,30,75,327,10250000
Day'Ron Sharpe,P,22,BRK,47,1,729,135,233,0.579,4,12,0.333,131,221,0.593,0.588,65,106,0.613,126,186,312,68,21,35,50,103,339,2210160
Shaedon Sharpe,ES,20,POR,32,25,1059,176,434,0.406,60,180,0.333,116,254,0.457,0.475,98,119,0.824,42,118,160,94,28,12,72,88,510,6313800
Ben Sheppard,ES,22,IND,39,0,468,56,133,0.421,34,91,0.374,22,42,0.524,0.549,14,17,0.824,8,50,58,29,21,2,7,59,160,2537160
Pascal Siakam,AP,29,TOT,62,62,2107,522,979,0.533,73,215,0.34,449,764,0.588,0.57,222,300,0.74,99,308,407,289,49,18,117,147,1339,37893408
Ben Simmons,BA,27,BRK,15,12,359,43,74,0.581,0,0,,43,74,0.581,0.581,6,15,0.4,31,88,119,86,12,9,27,36,92,37893408
Anfernee Simons,ES,24,POR,40,40,1380,318,737,0.431,136,350,0.389,182,387,0.47,0.524,142,156,0.91,20,125,145,220,21,4,115,88,914,24107143
Jericho Sims,P,25,NYK,36,10,488,36,48,0.75,0,0,,36,48,0.75,0.75,13,20,0.65,50,72,122,22,5,16,12,35,85,1927896
Dmytro Skapintsev,P,25,NYK,2,0,2,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,35389
Javonte Smart,BA,24,PHI,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,196245
Marcus Smart,BA,29,MEM,20,20,605,102,237,0.43,42,134,0.313,60,103,0.583,0.519,43,56,0.768,6,47,53,86,41,5,62,53,289,18583713
Dennis Smith Jr.,BA,26,BRK,48,2,945,131,308,0.425,26,95,0.274,105,213,0.493,0.468,40,54,0.741,45,107,152,183,58,12,59,109,328,2528233
Dru Smith,ES,26,MIA,9,0,131,15,33,0.455,7,17,0.412,8,16,0.5,0.561,2,2,1.0,6,8,14,14,9,3,5,12,39,1801769
Ish Smith,BA,35,CHO,43,5,741,66,158,0.418,4,8,0.5,62,150,0.413,0.43,3,4,0.75,11,65,76,145,17,4,47,49,139,3196448
Jabari Smith Jr.,AP,20,HOU,58,58,1861,282,627,0.45,100,279,0.358,182,348,0.523,0.53,111,137,0.81,116,379,495,87,41,45,69,156,775,9326520
Jalen Smith,P,23,IND,45,13,799,183,296,0.618,48,107,0.449,135,189,0.714,0.699,53,78,0.679,74,173,247,49,11,28,37,95,467,5043773
Nick Smith Jr.,ES,19,CHO,39,0,605,90,227,0.396,51,116,0.44,39,111,0.351,0.509,11,13,0.846,17,39,56,50,8,7,32,50,242,2463960
Jeremy Sochan,AP,20,SAS,64,63,1892,289,655,0.441,60,183,0.328,229,472,0.485,0.487,97,125,0.776,116,280,396,216,48,30,120,152,735,5316960
Jaden Springer,ES,21,TOT,38,1,397,48,126,0.381,8,39,0.205,40,87,0.46,0.413,28,34,0.824,28,34,62,36,25,11,27,52,132,2226360
Lamar Stevens,AP,26,TOT,30,2,352,72,148,0.486,9,23,0.391,63,125,0.504,0.517,26,35,0.743,25,62,87,16,12,16,20,34,179,2092354
Isaiah Stewart,AP,22,DET,41,40,1266,166,349,0.476,58,156,0.372,108,193,0.56,0.559,59,79,0.747,70,210,280,68,17,32,63,93,449,5266713
Julian Strawther,AL,21,DEN,40,0,497,75,200,0.375,38,125,0.304,37,75,0.493,0.47,18,25,0.72,4,48,52,42,17,7,17,49,206,2431080
Max Strus,AL,27,CLE,60,60,1932,263,638,0.412,144,423,0.34,119,215,0.553,0.525,62,79,0.785,53,231,284,230,53,28,91,153,732,14487684
Jalen Suggs,ES,22,ORL,58,58,1543,255,554,0.46,119,303,0.393,136,251,0.542,0.568,81,107,0.757,40,149,189,149,81,34,111,165,710,7252200
Jae'Sean Tate,AL,28,HOU,54,9,910,93,198,0.47,21,69,0.304,72,129,0.558,0.523,22,32,0.688,53,122,175,57,38,10,28,122,229,6500000
Jayson Tatum,AP,25,BOS,60,60,2154,548,1158,0.473,188,500,0.376,360,658,0.547,0.554,329,397,0.829,53,454,507,293,61,34,153,122,1613,32600060
Terry Taylor,AP,24,CHI,24,0,161,17,34,0.5,2,9,0.222,15,25,0.6,0.529,2,3,0.667,15,18,33,7,4,2,7,16,38,2019706
Garrett Temple,ES,37,TOR,16,0,69,8,21,0.381,2,9,0.222,6,12,0.5,0.429,5,6,0.833,5,6,11,6,3,0,5,6,23,3196448
Dalen Terry,ES,21,CHI,41,1,405,33,84,0.393,11,46,0.239,22,38,0.579,0.458,18,28,0.643,15,52,67,50,15,8,19,52,95,3350760
Daniel Theis,P,31,TOT,47,3,811,124,234,0.53,19,52,0.365,105,182,0.577,0.571,31,43,0.721,69,116,185,48,18,39,33,108,298,2179511
Cam Thomas,ES,22,BRK,49,34,1461,374,852,0.439,101,277,0.365,273,575,0.475,0.498,185,221,0.837,18,121,139,130,36,12,87,101,1034,2240040
Amen Thompson,AL,21,HOU,44,6,865,138,275,0.502,7,50,0.14,131,225,0.582,0.515,60,93,0.645,79,169,248,102,54,31,62,101,343,8809320
Ausar Thompson,AL,21,DET,63,38,1583,232,480,0.483,21,113,0.186,211,367,0.575,0.505,71,119,0.597,129,273,402,120,68,59,84,175,556,7977480
Klay Thompson,AL,33,GSW,60,51,1779,363,858,0.423,199,522,0.381,164,336,0.488,0.539,103,112,0.92,27,178,205,131,35,28,90,108,1028,43219440
Tristan Thompson,P,32,CLE,36,0,446,61,94,0.649,0,1,0.0,61,93,0.656,0.649,13,42,0.31,59,81,140,40,8,11,23,50,135,3196448
Matisse Thybulle,AL,26,POR,60,19,1401,119,299,0.398,76,218,0.349,43,81,0.531,0.525,22,29,0.759,29,96,125,80,108,44,37,90,336,10500000
Jacob Toppin,AL,23,NYK,9,0,38,5,9,0.556,1,4,0.25,4,5,0.8,0.611,2,2,1.0,3,4,7,3,0,1,1,3,13,453617
Obi Toppin,AP,25,IND,64,28,1400,258,459,0.562,80,200,0.4,178,259,0.687,0.649,61,81,0.753,66,178,244,96,33,33,55,115,657,6803012
Karl-Anthony Towns,AP,28,MIN,60,60,1969,472,932,0.506,134,317,0.423,338,615,0.55,0.578,250,286,0.874,91,413,504,179,43,40,169,198,1328,36016200
Gary Trent Jr.,ES,25,TOR,59,29,1613,270,643,0.42,145,361,0.402,125,282,0.443,0.533,43,61,0.705,19,125,144,88,58,9,39,74,728,18785000
P.J. Tucker,AP,38,TOT,18,3,269,6,20,0.3,5,16,0.313,1,4,0.25,0.425,3,3,1.0,17,31,48,8,9,3,5,38,20,11014500
Myles Turner,P,27,IND,60,60,1633,372,712,0.522,81,244,0.332,291,468,0.622,0.579,205,261,0.785,97,328,425,76,33,105,89,190,1030,20975000
Hunter Tyson,AP,23,DEN,11,0,32,3,11,0.273,2,9,0.222,1,2,0.5,0.364,0,0,,1,8,9,1,0,0,2,7,8,1119563
Stanley Umude,ES,24,DET,18,0,204,26,57,0.456,18,34,0.529,8,23,0.348,0.614,22,24,0.917,6,27,33,9,4,6,11,31,92,934168
Jarred Vanderbilt,AP,24,LAL,29,6,581,59,114,0.518,8,27,0.296,51,87,0.586,0.553,24,36,0.667,41,97,138,36,36,5,28,43,150,4698000
Fred VanVleet,BA,29,HOU,56,56,2059,309,756,0.409,169,443,0.381,140,313,0.447,0.521,142,166,0.855,23,185,208,448,66,47,92,128,929,40806300
Devin Vassell,ES,23,SAS,58,52,1876,421,893,0.471,145,385,0.377,276,508,0.543,0.553,143,180,0.794,27,201,228,230,61,22,90,58,1130,5887899
Sasha Vezenkov,AP,28,SAC,35,0,440,74,165,0.448,38,100,0.38,36,65,0.554,0.564,10,13,0.769,30,56,86,15,16,7,11,35,196,6341464
Gabe Vincent,BA,27,LAL,5,0,127,12,32,0.375,2,17,0.118,10,15,0.667,0.406,1,2,0.5,2,3,5,15,6,0,2,12,27,10500000
Dean Wade,AP,27,CLE,54,32,1108,96,232,0.414,79,202,0.391,17,30,0.567,0.584,20,26,0.769,37,181,218,43,40,25,20,93,291,5709877
Franz Wagner,AL,22,ORL,56,56,1855,423,885,0.478,83,278,0.299,340,607,0.56,0.525,206,243,0.848,56,253,309,219,57,24,117,128,1135,5508720
Moritz Wagner,P,26,ORL,62,1,1138,263,441,0.596,29,89,0.326,234,352,0.665,0.629,140,173,0.809,96,186,282,74,31,18,75,131,695,8000000
Ish Wainright,AL,29,POR,7,0,46,6,18,0.333,6,16,0.375,0,2,0.0,0.5,2,2,1.0,0,9,9,0,2,1,1,4,20,853149
Jabari Walker,AL,21,POR,57,15,1260,179,382,0.469,28,106,0.264,151,276,0.547,0.505,96,125,0.768,116,252,368,50,35,21,53,133,482,1719864
Jarace Walker,AP,20,IND,22,0,224,32,80,0.4,15,39,0.385,17,41,0.415,0.494,6,7,0.857,9,34,43,28,13,9,12,21,85,6059520
Cason Wallace,ES,20,OKC,63,9,1281,160,321,0.498,72,176,0.409,88,145,0.607,0.611,23,29,0.793,40,101,141,84,49,27,30,98,415,5291400
Jordan Walsh,AL,19,BOS,4,0,33,1,5,0.2,0,3,0.0,1,2,0.5,0.2,0,0,,2,9,11,2,2,1,2,5,2,1119563
P.J. Washington,AP,25,TOT,56,28,1668,280,630,0.444,99,311,0.318,181,319,0.567,0.523,82,115,0.713,68,228,296,114,50,41,81,134,741,16847826
Yuta Watanabe,AL,29,TOT,34,0,464,41,116,0.353,25,85,0.294,16,31,0.516,0.461,10,17,0.588,11,43,54,15,12,7,19,39,117,2346614
Trendon Watford,AP,23,BRK,46,0,536,103,197,0.523,15,42,0.357,88,155,0.568,0.561,45,51,0.882,39,84,123,55,15,12,34,73,266,2019706
Peyton Watson,AL,21,DEN,62,4,1138,163,348,0.468,41,130,0.315,122,218,0.56,0.527,59,85,0.694,40,141,181,63,35,62,46,105,426,2303520
Victor Wembanyama,P,20,SAS,56,56,1610,423,901,0.469,94,281,0.335,329,620,0.531,0.522,220,270,0.815,121,453,574,192,72,193,194,123,1160,12160680
Blake Wesley,ES,20,SAS,43,1,573,69,136,0.507,5,32,0.156,64,104,0.615,0.526,32,50,0.64,11,43,54,118,22,7,34,66,175,2504640
Russell Westbrook,BA,35,LAC,58,10,1313,257,569,0.452,37,138,0.268,220,431,0.51,0.484,90,133,0.677,80,214,294,256,65,21,118,103,641,3835738
Coby White,BA,23,CHI,64,64,2361,447,980,0.456,184,471,0.391,263,509,0.517,0.55,182,217,0.839,35,270,305,340,45,15,142,152,1260,12444444
Derrick White,ES,29,BOS,59,59,1900,311,662,0.47,151,380,0.397,160,282,0.567,0.584,115,128,0.898,40,197,237,296,60,73,94,122,888,18107143
Cam Whitmore,AL,19,HOU,37,1,658,166,356,0.466,59,164,0.36,107,192,0.557,0.549,59,88,0.67,33,110,143,18,23,11,36,49,450,3218160
Aaron Wiggins,ES,25,OKC,60,0,878,145,254,0.571,47,95,0.495,98,159,0.616,0.663,36,46,0.783,46,95,141,52,34,12,36,70,373,1836096
Andrew Wiggins,AL,28,GSW,54,42,1443,258,570,0.453,61,175,0.349,197,395,0.499,0.506,95,130,0.731,81,146,227,93,32,27,64,118,672,24330357
Lindell Wigginton,BA,25,MIL,3,0,8,2,5,0.4,0,2,0.0,2,3,0.667,0.4,2,2,1.0,0,0,0,0,0,0,1,1,6,244502
Grant Williams,AP,25,TOT,60,36,1643,188,435,0.432,99,266,0.372,89,169,0.527,0.546,72,96,0.75,66,172,238,113,33,33,78,176,547,12405000
Jalen Williams,AP,22,OKC,57,57,1820,429,796,0.539,87,193,0.451,342,603,0.567,0.594,152,186,0.817,30,201,231,257,61,30,98,152,1097,4558680
Jaylin Williams,P,21,OKC,51,0,645,67,168,0.399,39,106,0.368,28,62,0.452,0.515,23,28,0.821,29,139,168,67,21,19,20,73,196,2000000
Kenrich Williams,AP,29,OKC,51,1,726,84,187,0.449,39,101,0.386,45,86,0.523,0.553,3,10,0.3,37,104,141,62,25,6,20,69,210,6175000
Mark Williams,P,22,CHO,19,19,508,98,151,0.649,0,0,,98,151,0.649,0.649,46,64,0.719,76,108,184,22,16,20,17,50,242,3908160
Patrick Williams,AP,22,CHI,43,30,1174,159,359,0.443,59,148,0.399,100,211,0.474,0.525,52,66,0.788,46,120,166,66,40,33,57,87,429,9835881
Robert Williams,P,26,POR,6,0,119,17,26,0.654,0,0,,17,26,0.654,0.654,7,9,0.778,11,27,38,5,7,7,7,17,41,11812501
Vince Williams Jr.,ES,23,MEM,52,33,1436,169,379,0.446,79,209,0.378,90,170,0.529,0.55,104,130,0.8,59,231,290,175,47,34,92,135,521,2486462
Ziaire Williams,AL,22,MEM,51,15,1038,150,378,0.397,58,189,0.307,92,189,0.487,0.474,62,75,0.827,35,145,180,75,36,9,66,85,420,4810200
Zion Williamson,AP,23,NOP,52,52,1591,451,785,0.575,5,14,0.357,446,771,0.578,0.578,239,344,0.695,91,202,293,268,47,31,132,118,1146,34005250
Jalen Wilson,AP,23,BRK,26,1,374,41,99,0.414,15,42,0.357,26,57,0.456,0.49,21,23,0.913,31,39,70,29,7,1,9,30,118,707770
James Wiseman,P,22,DET,44,0,647,119,178,0.669,0,2,0.0,119,176,0.676,0.669,34,55,0.618,69,122,191,32,8,26,37,96,272,12119440
Christian Wood,AP,28,LAL,50,1,872,123,264,0.466,35,114,0.307,88,150,0.587,0.532,66,94,0.702,39,215,254,49,16,33,50,72,347,2709849
Delon Wright,BA,31,TOT,36,1,512,52,131,0.397,16,42,0.381,36,89,0.404,0.458,29,35,0.829,14,49,63,91,38,9,11,23,149,947205
Thaddeus Young,AP,35,TOT,25,6,379,57,93,0.613,1,6,0.167,56,87,0.644,0.618,5,14,0.357,36,49,85,50,19,3,12,42,120,1010371
Trae Young,BA,25,ATL,51,51,1862,418,982,0.426,169,456,0.371,249,526,0.473,0.512,339,396,0.856,22,118,140,553,70,11,220,106,1344,40064220
Omer Yurtseven,P,25,UTA,35,6,317,49,94,0.521,4,17,0.235,45,77,0.584,0.543,8,15,0.533,45,81,126,16,5,14,25,39,110,2800000
Cody Zeller,P,31,NOP,39,0,301,25,60,0.417,1,3,0.333,24,57,0.421,0.425,22,36,0.611,46,61,107,36,8,5,15,42,73,3196448
Ivica Zubac,P,26,LAC,50,50,1311,246,378,0.651,0,0,,246,378,0.651,0.651,85,126,0.675,148,314,462,68,11,61,59,137,577,10933333
