Player,Tm,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,DRB,AST,TOV,PTS,Predict_salario,Real_salario,Diferencia_%,Image_URL
Moses Brown,Portland Trail Blazers,P,24,13,4,114,1,2,0,0,1,2,0,0,2,0,0,2,3291173,2165000,"-52,01725954562376",https://cdn.ssref.net/req/202312151/tlogo/bbr/POR-2024.png
Jalen Brunson,New York Knicks,BA,27,58,58,2048,9,20,2,6,7,13,5,6,3,6,2,27,30858541,26346666,"-17,12503368591813",https://cdn.ssref.net/req/202312151/tlogo/bbr/NYK-2024.png
Thomas Bryant,Miami Heat,P,26,27,3,275,1,3,0,0,1,2,0,0,1,0,0,4,3565399,2528233,"-41,02338156065217",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIA-2024.png
Kobe Bufkin,Atlanta Hawks,ES,20,9,0,89,1,4,0,1,0,2,0,0,1,1,0,3,3181314,4094280,"22,298550817953483",https://cdn.ssref.net/req/202312151/tlogo/bbr/ATL-2024.png
Reggie Bullock,Houston Rockets,AL,32,26,0,226,0,2,0,1,0,0,0,0,1,0,0,2,4092030,3196448,"-28,01805363095048",https://cdn.ssref.net/req/202312151/tlogo/bbr/HOU-2024.png
Alec Burks,TOT,ES,32,54,1,1072,3,9,2,5,1,3,2,2,1,1,0,11,12457366,10489600,"-18,759214118176008",
Jimmy Butler,Miami Heat,AP,34,44,44,1501,6,13,1,2,5,11,6,8,3,4,1,21,38432993,45183960,"14,94106978779714",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIA-2024.png
Toumani Camara,Portland Trail Blazers,AP,23,60,40,1448,2,6,0,2,1,3,1,1,3,1,1,7,3693862,1119563,"-229,93784860388647",https://cdn.ssref.net/req/202312151/tlogo/bbr/POR-2024.png
Clint Capela,Atlanta Hawks,P,29,55,55,1390,4,8,0,0,4,8,1,2,5,1,0,11,16997386,22116000,"23,14438924043988",https://cdn.ssref.net/req/202312151/tlogo/bbr/ATL-2024.png
Jevon Carter,Chicago Bulls,BA,28,61,0,830,1,5,1,3,0,1,0,0,0,1,0,4,6329861,6190476,"-2,2516060698522136",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHI-2024.png
Wendell Carter Jr.,Orlando Magic,P,24,37,31,968,4,7,1,2,2,4,1,2,4,1,1,11,10496085,13050000,"19,57022677736561",https://cdn.ssref.net/req/202312151/tlogo/bbr/ORL-2024.png
Alex Caruso,Chicago Bulls,ES,29,55,42,1513,3,7,1,4,1,2,1,1,2,2,1,9,9926604,9460000,"-4,932399055736482",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHI-2024.png
Malcolm Cazalon,Detroit Pistons,ES,22,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2005411,389274,"-415,16705242132315",https://cdn.ssref.net/req/202312151/tlogo/bbr/DET-2024.png
Julian Champagnie,San Antonio Spurs,AL,22,56,41,954,1,4,1,3,0,1,0,1,2,1,0,5,3228005,3000000,"-7,600176031829959",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAS-2024.png
Max Christie,Los Angeles Lakers,ES,20,51,7,815,1,3,0,1,0,1,0,0,2,1,0,4,3153343,1719864,"-83,34844443028405",https://cdn.ssref.net/req/202312151/tlogo/bbr/LAL-2024.png
Sidy Cissoko,San Antonio Spurs,AL,19,6,0,32,0,1,0,0,0,0,0,0,1,0,0,1,2301868,1119563,"-105,60417793989633",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAS-2024.png
Jordan Clarkson,Utah Jazz,ES,31,53,19,1616,6,14,1,5,4,9,3,3,2,5,2,17,22709858,23487629,"3,311404214217421",https://cdn.ssref.net/req/202312151/tlogo/bbr/UTA-2024.png
Noah Clowney,Brooklyn Nets,AP,19,8,0,78,1,2,0,0,1,1,0,0,1,1,0,3,3192716,3089520,"-3,3402197952894697",https://cdn.ssref.net/req/202312151/tlogo/bbr/BRK-2024.png
Amir Coffey,Los Angeles Clippers,AL,26,50,9,936,2,4,0,1,1,2,0,1,1,0,0,5,4045480,3666667,"-10,331287482663107",https://cdn.ssref.net/req/202312151/tlogo/bbr/LAC-2024.png
John Collins,Utah Jazz,AP,26,60,58,1695,5,10,1,3,4,7,1,2,6,1,1,14,19880321,25340000,"21,545691209823755",https://cdn.ssref.net/req/202312151/tlogo/bbr/UTA-2024.png
Zach Collins,San Antonio Spurs,P,26,52,26,1209,4,9,0,2,3,6,1,2,3,2,1,11,9936756,7700000,"-29,048791680773284",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAS-2024.png
Mike Conley,Minnesota Timberwolves,BA,36,59,59,1706,3,8,2,5,1,2,1,1,2,6,1,10,21066928,24360000,"13,518355533402774",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIN-2024.png
Pat Connaughton,Milwaukee Bucks,AL,31,58,2,1254,2,4,1,3,0,1,0,0,2,1,0,5,7648596,9423869,"18,83804024386222",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIL-2024.png
Bilal Coulibaly,Washington Wizards,AL,19,59,11,1582,2,6,0,2,1,3,1,1,3,1,1,8,4151581,6614280,"37,23306225618493",https://cdn.ssref.net/req/202312151/tlogo/bbr/WAS-2024.png
Robert Covington,TOT,5792936.669473495,33,29,6,488,1,3,0,1,0,1,0,0,2,0,0,4,5982044,11692308,"48,83778003104736",
Torrey Craig,Chicago Bulls,AL,33,35,8,721,2,4,1,3,0,1,0,0,2,1,0,5,7161336,2528233,"-183,2545904999218",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHI-2024.png
Jae Crowder,Milwaukee Bucks,AP,33,33,17,804,2,5,1,3,1,2,0,0,3,1,0,6,7712030,3196448,"-141,2687523192633",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIL-2024.png
Jalen Crutcher,New Orleans Pelicans,BA,24,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,2378772,64343,"-3597,0184184625887",https://cdn.ssref.net/req/202312151/tlogo/bbr/NOP-2024.png
Cade Cunningham,Detroit Pistons,BA,22,53,53,1793,8,18,1,5,6,13,3,4,3,7,3,22,11007881,11055240,"0,4283821375211233",https://cdn.ssref.net/req/202312151/tlogo/bbr/DET-2024.png
Seth Curry,TOT,ES,33,44,4,616,1,4,0,2,0,2,0,0,1,1,0,5,6184673,4000000,"-54,61684558917559",
